PYPL,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
430,150.58,148.22,5612696,150.74,148.04,149.1062,71434,2020-05-21 04:00:00
431,148.26,150.86,5724145,151,147.36,150.0289,60905,2020-05-22 04:00:00
432,154.12,147,10267534,154.55,146.29,148.187,131476,2020-05-26 04:00:00
433,145.48,145.96,9554775,146.4,140.02,143.7322,120996,2020-05-27 04:00:00
434,144.73,148.79,10050679,151.945,144.51,149.3201,100106,2020-05-28 04:00:00
435,150.5,155.01,10156091,155.33,148.93,152.7543,113175,2020-05-29 04:00:00
436,154.9,154.53,5658288,155.97,153.05,154.2327,75248,2020-06-01 04:00:00
437,156,157.49,6344432,157.6,154.61,156.5952,84925,2020-06-02 04:00:00
438,157.49,156.78,6732830,158.271,155.12,156.5637,95172,2020-06-03 04:00:00
439,156.7,154.6,7554487,159.4799,153.635,156.2423,106730,2020-06-04 04:00:00
440,152.98,156,8446143,156.34,150,154.5778,110459,2020-06-05 04:00:00
441,154.28,156.09,5494431,156.21,153.11,155.1215,66177,2020-06-08 04:00:00
442,155.79,156.86,7265620,158.21,155.5949,157.1115,78367,2020-06-09 04:00:00
443,157.6,159.91,5881831,160.89,157.6,159.4811,78199,2020-06-10 04:00:00
444,158.34,153.04,9041718,159.5,152.915,155.3868,120850,2020-06-11 04:00:00
445,157.06,155.26,7038068,157.21,151.89,154.8515,94524,2020-06-12 04:00:00
446,152.63,157.55,5117394,157.92,152.22,156.0038,73421,2020-06-15 04:00:00
447,160.19,161.22,6539467,162.83,158.3,161.3511,90192,2020-06-16 04:00:00
448,162.84,163.83,5582620,164.9597,161.66,163.7659,79590,2020-06-17 04:00:00
449,164.72,168.05,8583734,168.83,164.31,167.0816,92804,2020-06-18 04:00:00
450,170.6,164.36,11332668,171.12,164.01,166.681,118639,2020-06-19 04:00:00
451,165.58,170.26,7793821,170.9,165.55,169.5892,79017,2020-06-22 04:00:00
452,172,172.79,7693874,175.4,170.4,173.4402,95307,2020-06-23 04:00:00
453,170.595,168,8931751,173.48,164.29,167.7808,126949,2020-06-24 04:00:00
454,169,172.5,6650737,172.78,168.19,171.0921,78472,2020-06-25 04:00:00
455,173.71,170.87,8158658,173.71,168.6,171.2854,84081,2020-06-26 04:00:00
456,171.48,168.35,5423702,171.48,165.56,167.7778,80721,2020-06-29 04:00:00
457,170.7,174.23,6831902,174.69,169.41,172.9499,81485,2020-06-30 04:00:00
458,174.625,177.43,6869584,178.2348,172.56,176.3155,89798,2020-07-01 04:00:00
459,179.69,177.21,5943623,179.8,176.72,177.7521,82635,2020-07-02 04:00:00
460,180.29,176.18,8348329,181.24,174.46,177.4899,119143,2020-07-06 04:00:00
461,177.69,177.28,5529363,179.95,176.31,178.031,75294,2020-07-07 04:00:00
462,178.89,181.57,7233512,182.64,178.5,180.7526,76911,2020-07-08 04:00:00
463,183.4,183.23,6340005,183.99,179.15,182.3785,84915,2020-07-09 04:00:00
464,181.63,178.4,7570666,182.52,177.13,178.4283,116504,2020-07-10 04:00:00
465,180.42,171.51,10234780,180.66,170.74,176.0882,158663,2020-07-13 04:00:00
466,168.75,172.3,10561987,172.6,164.33,169.6229,147994,2020-07-14 04:00:00
467,172.99,172.06,6659704,173.36,169.01,171.5391,95745,2020-07-15 04:00:00
468,169.9,169.81,6630594,171.34,166.4998,169.3667,82269,2020-07-16 04:00:00
469,171.5,173.92,7353955,174.56,169.54,172.8318,76041,2020-07-17 04:00:00
470,174.65,178.82,6025037,179.64,172.68,177.5928,76581,2020-07-20 04:00:00
471,179.25,175.58,5701784,179.46,174.32,176.1859,71877,2020-07-21 04:00:00
472,176.16,178.42,4669007,179.49,175.73,177.6506,71549,2020-07-22 04:00:00
473,178.15,173.86,6999615,180.75,171.94,175.2986,79165,2020-07-23 04:00:00
474,171.08,172.56,6256092,173.6,169.08,171.9053,90894,2020-07-24 04:00:00
475,173.92,177.98,6868784,178.46,172.39,176.4672,88771,2020-07-27 04:00:00
476,178.01,176.27,6125669,179.58,176.0102,177.829,76812,2020-07-28 04:00:00
477,178.45,184.6,15436643,185.44,178.27,183.995,177346,2020-07-29 04:00:00
478,191.81,192.51,16803593,198.6599,189.1314,192.5835,195680,2020-07-30 04:00:00
479,193.05,196.07,10865370,196.35,191.69,194.477,124341,2020-07-31 04:00:00
480,198.25,197.07,7961646,199.4,195.22,197.0687,109996,2020-08-03 04:00:00
481,196.35,197.33,5771585,199.1,195.5206,197.2316,74045,2020-08-04 04:00:00
482,199,202.91,7573326,204.23,198.09,202.3248,92335,2020-08-05 04:00:00
483,202,204.09,5821425,204.16,198.88,201.9535,86688,2020-08-06 04:00:00
484,203.71,198.63,6525299,203.9509,196.7,199.882,89242,2020-08-07 04:00:00
485,198.7,193.32,8792199,199.85,191.69,194.0555,104585,2020-08-10 04:00:00
486,192,189.03,9155292,193.535,186.52,190.5091,122453,2020-08-11 04:00:00
487,190,191.32,7939997,192.51,189.4,191.2117,100289,2020-08-12 04:00:00
488,192.1,193.07,10082355,195.13,191.48,192.8682,115845,2020-08-13 04:00:00
489,195.19,191.46,4847965,195.4687,190.51,191.9781,73350,2020-08-14 04:00:00
490,193.92,196.29,6279277,197.42,193.25,196.332,83685,2020-08-17 04:00:00
491,197.73,194.57,5362472,198.75,194,195.4653,81201,2020-08-18 04:00:00
492,195.06,192.44,6865340,196.84,191.92,193.502,82283,2020-08-19 04:00:00
493,192.06,198.18,6772962,198.7,191.51,196.6953,81597,2020-08-20 04:00:00
494,197.93,196.79,6071035,199.0999,196.22,197.202,72076,2020-08-21 04:00:00
495,200,198.88,5404075,201.0988,196.57,198.7075,73146,2020-08-24 04:00:00
496,198.49,201.67,5108202,201.96,196.24,200.4323,67901,2020-08-25 04:00:00
497,202.53,203.48,6072171,205.35,200.25,203.2219,78286,2020-08-26 04:00:00
498,206.81,204.34,6047473,207,202.3,204.48,86206,2020-08-27 04:00:00
499,205.4159,204.48,4581319,205.4159,202.42,203.8487,65470,2020-08-28 04:00:00
500,203.7,204.14,5628727,205.2523,202.2984,203.8121,74018,2020-08-31 04:00:00
501,205.59,208.93,6237911,209.8799,205.145,208.4982,90635,2020-09-01 04:00:00
502,211.6222,210.82,7217334,212.45,204.6,209.2354,107783,2020-09-02 04:00:00
503,205.69,204.99,15988394,206.59,194.95,201.0922,228805,2020-09-03 04:00:00
504,200.985,191.84,17034108,201.84,182.85,191.0677,263834,2020-09-04 04:00:00
